номер,тема
1,Фамилия
2,Имя
3,Физические величины. Единицы физических величин. Международная система единиц. Перевод единиц измерений. Размерность физических величин. Переводы односложных единиц измерений; Переводы многосложных единиц измерений; Различные переводы времени
4,"Цепочка переводов единиц; Простые расчетные задачи с переводом единиц; Линейнозависящие друг от друга шкалы (например, температуры)"
5,Измерение физических величин. Простейшие измерения; Показания приборов с учетом погрешности; Определение цен делений приборов; Выбор наиболее подходящего прибора
6,"Площади фигур, метод палетки; Простейшие геометрические расчеты"
7,Логические задачи про измерения
8,"Формула из трех букв (масса, объем, плотность); Добавление геометрических формул расчета объема; Фигуры, составленные из нескольких более простых фигур; Средняя плотность"
9,Процентные изменения; Полости в фигурах; Пористость; Насыпная плотность
10,Понятие концентрации; Подобие; Погонная и поверхностная плотности; Графики зависимости плотности от длины
11,Простые расчеты плотности сплава по массовой или объемной доле; Уменьшение объема смеси при смешивании (контракция) или изменение массы за счет испарения или диффузии; Графики зависимости средней плотности от количества добавленного в смесь вещества
12,"Движение. Скорость. Путь. Механическое движение. Материальная точка. Способы описания механического движения: табличный, графический, аналитический. Системы координат. Траектория. Путь и скорость движения. Равномерное движение. Зависимость координаты от времени для равномерного движения (уравнения движения). Формула длина поделить на время; соотношения геометрических размеров плюс формула для скорости; соотношения на время плюс формула для скорости"
13,"Формулы для скорости для двух отдельных объектов; Микс из условий на расстояние, время и/или нескольких ситуаций для использования формулы для скорости; Изменение плана движения"
14,Использование понятий части всего пути и части всего времени; Указание моментов времени по часам; Периодическое движение на длительном промежутке времени
15,Средняя скорость. Средняя скорость через задание промежутков времени и расстояния; Средняя скорость через задание частей полного времени; Средняя скорость через задание частей полного расстояния; Аналитические задачи на среднюю скорость при равноускоренном движении
16,"Использование понятия средней скорости для задания параметров задачи; Комбинированное задание условий движения для использования формулы для средней скорости; Поиск средней скорости на участке пути или времени, не входящем в исходную разбивку частей пути или времени"
17,"Относительность механического движения. Система отсчёта. Закон сложения скоростей для тел, движущихся параллельно. Задача погони, Задача обгона; Задача встречного движения, прохождения мимо; Дискретное задание скорости передвижения (сравнение целочисленных величин)"
18,"Относительность движения; Движение по реке вниз и вверх (или в другой среде, например, в поезде); Встреча на реке"
19,Соударения с массивными подвижными стенками; Написание законов движения в двух системах отсчета; Движение туда-сюда между сближающимися объектами
20,Колонны объектов; Подсчет количества ступенек на эскалаторе; Три движущихся объекта
21,"Задачи на базовые преобразования преобразование графиков координаты от времени и скорости от времени; Задача встречи через график; Различие между путем и перемещением. Графическая интерпретация скорости, пройденного пути, времени и перемещения для прямолинейного движения."
22,Неравномерное движение. Работа с малыми приращениями и их суммами; Площадь под графиком скорости от времени; Преобразование одной из координат графика
23,"График скорости от координаты; График средней скорости от времени; График средней скорости от координаты; График обратной скорости от расстояния, обратного расстояния от скорости"
24,"Движение на плоскости; Скорости на круге; Движение по реке в перпендикулярном направлении; Задачи на поиск кратчайшего пути через отражения; Задачи на поиск кратчайшего пути через развертку; Волновые фронты (например, сжигание травы)"
25,Относительность на кольце; Плавание в бассейне
26,"Минимальное время, за которое можно добраться при наличии ограниченного количества транспортных средств на группу"
27,"Потоки и плотности потоков разных величин (объем, количество, масса и тд); Графические задачи с плотностями потоков"
28,"Мгновенный центр вращения. Простые задачи; Скорость центральной и нижней точки колеса; Кинематические связи при движении в системах для случая параллельных перемещений. Механическое движение в системах: рычаг, ворот, блоки (подвижный и неподвижный), нерастяжимая нить, упругое тело, ножничный механизм.  Связи в блоках; Связи в рычаге"
29,Комбинированные связи; Связи в шарнирах
30,Неравенства
31,"Взаимодействие тел как причина изменения скорости движения тел (на качественном уровне, без второго закона Ньютона).  Понятие силы. Явление инерции. Инертность. Масса как мера инертности тела.
Сила как характеристика взаимодействия тел. Третий закон Ньютона. 
Сложение параллельных сил. Понятие равнодействующей. Условие покоя тела. 
Сила тяжести. Сила реакции опоры и сила упругости (сила натяжения). Соединение грузов нитями и пружинами (нахождение сил натяжения и удлинения); Упругость. Закон Гука. Соединение грузов нитями и блоками"
32,Задачи на выигрыш или проигрыш в силе в системе блоков; Весомые блоки в блоковых системах; Сила трения. Сила трения нити в блоковых задачах
33,"Поступательное и вращательное движение твёрдого тела; 
Плечо силы; Момент силы; Условие равновесия твердого тела с закреплённой осью вращения; Рычаг; Правило моментов; 
Задачи на условия равновесия для одного рычага; Весомый рычаг; Смещение точки опоры в крайнюю точку в момент опрокидывания; Распределение сил реакции опоры при двух точках опоры"
34,Составной блок; Системы подвижных и неподвижных блоков; Полиспаст; Ворот; Задачи с условиями равновесия для двух рычагов; Неоднородные объекты в задачах с рычагами; Система подвеса рычагов с несколькими блоками или двойным блоком; Задачи с рычагами и блоками на анализ провисания и отрыва; Задачи статики с кинематическими связями;
35,Упругость; Закон Гука; Линейные и нелинейные деформации; Системы пружин; Эффективный коэффициент упругости системы; Эффективный коэффициент жесткости параллельного и последовательного соединения пружин; Эффективный коэффициент жесткости систем с блоками; Эффективный коэффициент жесткости в системах с рычагами; Эффективный коэффициент жесткости в системах с рычагами и блоками; Движение в системах с пружинами
36,"Задание геометрических соотношений через пружины для равновесия рычага, задача о распределении силы натяжения виртуальными перемещениями"
37,Расстановка сил в системах с действиями сил под углами; Угол в 30 градусов в статических задачах
38,Центр тяжести систем точечных объектов; Центр тяжести систем однородных стержней; Центр тяжести плоских прямоугольных фигур
39,Центр тяжести плоского треугольника и плоских многоугольников; Центр тяжести фигур с вырезами
40,Давление твердых тел
41,"Гидростатическое давление; Зависимость гидростатического давления жидкости от глубины погружения. Давление в жидкости (с учётом внешнего давления). Столб Торичелли; Поиск давлений жидкости на разной глубине в сосудах, заполненных однородной жидкостью; Поиск давлений в системах трубок полостями и воздушными пробками; Давление в жидкостях с градиентом плотности"
42,Закон Паскаля; Задачи о давлении на дно сосудов конических форм; Расчет сил давления через среднее давление; Расчет сил давление через проекцию площади на плоскость перпендикулярную направлению расчета силы
43,Сообщающиеся сосуды; Изменение уровней в сообщающихся сосудах; П-образные перемычки в сообщающихся сосудах; Сифон
44,Наклонные перемычки в сообщающихся сосудах; Воздушные пробки в сообщающихся сосудах; Две перемычки в сообщающихся сосудах
45,"Гидравлический пресс; Гидравлические машины; Сохранение объема (несжимаемость жидкости); Силы давления на поршни; Качественные задачи о сжатии воздуха; Пневматические машины; Трение, пружины и рычаги в задачах с поршнями"
46,Изменение уровня жидкости в одном сосуде; Изменение уровня жидкости в связанных сосудах
47,Действие жидкости и газа на погруженное в них тело; Выталкивающая (архимедова) сила; Закон Архимеда; Плавание тел; Воздухоплавание; Простейшие задачи на применение формулы для силы Архимеда; Плавание неоднородных (составных или с полостями) тел; Пограничное плавание; Плавание в неоднородной жидкости и в системе несмешивающихся жидкостей; 
48,Сила Архимеда при отсутствии подтекания вдоль одной грани тела; Давление твердых тел в жидкости на дно в случае неподтекания; Условие начала подтекания в симметричных случаях; Поиск сил давления жидкости на некоторую поверхность через ее массу
49,Применение уравнения моментов в гидростатических задачах; Условие начала подтекания в несимметричных случаях; Задачи о распределении силы давления на дно сосуда; Эквивалентная замена подвешенной на рычаг в двух точках цепочки
50,Точка приложения силы Архимеда; Устойчивость плавания
51,Тепловое расширение в задачах 7 класса и другие уникальные задачи
52,"Механическая работа для сил, направленных вдоль перемещения материальной точки; Постоянная и переменная силы; Средняя сила; Связь изменения кинетической энергии и работы; Вычисление работы через площадь под графиком зависимости силы от перемещения"
53,Потенциальная энергия пружины; Потенциальная энергия в поле тяжести Земли; Работа силы трения; потенциальная энергия шнуров/цепочек
,"Мощность; Вычисление работы через площадь под графиком мощности от времени; Формула для мощности силы; КПД; ЗСЭ; КПД в механических системах; Простые механизмы: рычаг, ворот, блок, полиспаст, наклонная плоскость, ножничный механизм; «Золотое правило» механики; КПД простых механизмов; "
,ЗСЭ для расчета сил в различных механических системах; Метод виртуальных перемещений. Шарниры.; Силы натяжения в цепях и веревках